order,name,common,area,stock,stock_short,sex,a,b,lmax,linf,l50,a50,t0,k,h_Myers,h_Myers_source,source.a,source.b,Lmax,source.Linf,source.L50,source.A50,source.t0,source.K,Comment,s,minfbar,maxfbar,M,M_mat,MK,amax
1,Raja clavata,Thornback ray,Iberia_Portugal,rjc_1,rjc.27.9a,F,0.0052,3.05,NA,128,78.4,7.5,-0.617,0.117,NA,NA,"Serra-Pereira et al., 2010","Serra-Pereira et al., 2010",,"Serra-Pereira et al., 2008","Serra-Pereira et al., 2011","Serra-Pereira et al., 2011","Serra-Pereira et al., 2008","Serra-Pereira et al., 2008",NA,0.75,2,10,0.207274584,0.121179343,1.035720883,25
2,Raja clavata,Thornback ray,Iberia_Portugal,rjc_2,rjc.27.9a,M,0.0052,3.05,NA,128,67.6,5.8,-0.617,0.117,NA,NA,"Serra-Pereira et al., 2010","Serra-Pereira et al., 2010",,"Serra-Pereira et al., 2008","Serra-Pereira et al., 2011","Serra-Pereira et al., 2011","Serra-Pereira et al., 2008","Serra-Pereira et al., 2008",NA,0.75,2,10,0.207274584,0.131517958,1.124085107,25
3,Raja clavata,Thornback ray,Iberia_Portugal,rjc_3,rjc.27.9a,F,0.0052,3.05,124,124,NA,7.5,NA,0.117,NA,NA,"Serra-Pereira et al., 2010","Serra-Pereira et al., 2010",PT survey,,,"Serra-Pereira et al., 2011","Serra-Pereira et al., 2008","Serra-Pereira et al., 2008",NA,0.75,2,10,0.239055917,0.123383897,1.054563219,26
4,Raja clavata,Thornback ray,Iberia_Portugal,rjc_4,rjc.27.9a,M,0.0052,3.05,NA,128,NA,5.8,NA,0.117,NA,NA,"Serra-Pereira et al., 2010","Serra-Pereira et al., 2010",,"Serra-Pereira et al., 2008",,"Serra-Pereira et al., 2011","Serra-Pereira et al., 2008","Serra-Pereira et al., 2008",NA,0.75,2,10,0.237769141,0.134270126,1.147607916,26
5,Raja brachyura,Blonde ray,Iberia_Portugal,rjh_1,rjh.27.9a,F,0.00198,3.2,NA,154.7,83.4,6.8,-0.84,0.129,NA,NA,"Serra-Pereira et al., 2010","Serra-Pereira et al., 2010",,"Gallagher et al., 2005","McCully et al., 2012","McCully et al., 2012","Gallagher et al., 2005","Gallagher et al., 2005",NA,0.75,2,20,0.199802495,0.128428932,0.995573116,23
6,Raja brachyura,Blonde ray,Iberia_Portugal,rjh_2,rjh.27.9a,M,0.00198,3.2,NA,145.8,67.6,6.2,-0.926,0.145,NA,NA,"Serra-Pereira et al., 2010","Serra-Pereira et al., 2010",,"Gallagher et al., 2005","McCully et al., 2012","McCully et al., 2012","Gallagher et al., 2005","Gallagher et al., 2005",NA,0.75,2,20,0.214447885,0.141359404,0.97489244,20
7,Raja brachyura,Blonde ray,Iberia_Portugal,rjh_3,rjh.27.9a,F,0.00198,3.2,NA,121,95.2,8.2,0.19,0.13,NA,NA,"Serra-Pereira et al., 2010","Serra-Pereira et al., 2010",,"Pina, 2012",PT RJH perliminary results,PT RJH perliminary results,"Pina, 2012","Pina, 2012",NA,0.75,2,20,0.283329925,0.130126444,1.00097265,24
8,Raja brachyura,Blonde ray,Iberia_Portugal,rjh_4,rjh.27.9a,M,0.00198,3.2,NA,103.7,90,7.5,0.22,0.16,NA,NA,"Serra-Pereira et al., 2010","Serra-Pereira et al., 2010",,"Pina, 2012",PT RJH perliminary results,PT RJH perliminary results,"Pina, 2012","Pina, 2012",NA,0.75,2,20,0.336272859,0.162307554,1.014422212,19
9,Raja brachyura,Blonde ray,Iberia_Portugal,rjh_5,rjh.27.9a,F,0.00198,3.2,NA,121,NA,8.2,NA,0.13,NA,NA,"Serra-Pereira et al., 2010","Serra-Pereira et al., 2010",,"Pina, 2012",,PT RJH perliminary results,"Pina, 2012","Pina, 2012",NA,0.75,2,20,0.257105804,0.130026108,1.000200828,23
10,Raja brachyura,Blonde ray,Iberia_Portugal,rjh_6,rjh.27.9a,M,0.00198,3.2,NA,103.7,NA,7.5,NA,0.16,NA,NA,"Serra-Pereira et al., 2010","Serra-Pereira et al., 2010",,"Pina, 2012",,PT RJH perliminary results,"Pina, 2012","Pina, 2012",NA,0.75,2,20,0.293897518,0.159930469,0.99956543,19
